団体コード	都道府県名	市区町村名	性別	総数	0～4	5～9	10～14	15～19	20～24	25～29	30～34	35～39	40～44	45～49	50～54	55～59	60～64	65～69	70～74	75～79	80～
092029	栃木県	足利市	女	78557	2637	3070	3457	3533	3302	3522	3889	4902	5386	4972	4389	4807	6407	6244	5634	4516	7890
092037	栃木県	栃木市	女	74325	2577	2891	3344	3377	3388	3523	3875	4669	4933	4335	4245	5030	6345	5374	4658	3947	7814
092045	栃木県	佐野市	女	62262	2287	2472	2614	2855	2752	3061	3380	3893	4119	3755	3730	4146	5040	4380	3785	3424	6569
092053	栃木県	鹿沼市	女	51280	1891	2186	2360	2458	2317	2563	2779	3271	3589	3057	3100	3372	4156	3344	2937	2512	5388
092061	栃木県	日光市	女	45301	1331	1517	1780	2083	2089	1944	1956	2559	2683	2746	2741	3033	3792	3358	3282	2905	5502
092088	栃木県	小山市	女	81940	3628	3689	3911	3874	3988	4601	5144	5884	6344	5448	4951	5328	6059	5266	4588	3316	5921
092096	栃木県	真岡市	女	40403	1802	1902	1918	2001	1868	2215	2441	2830	2837	2349	2348	2842	3279	2564	1944	1718	3545
092100	栃木県	大田原市	女	37171	1479	1513	1694	1765	1732	1955	2147	2383	2392	2056	2274	2677	3137	2280	1857	1897	3933
092118	栃木県	矢板市	女	17340	582	660	784	857	794	810	904	1101	1153	997	1066	1194	1513	1226	1026	935	1738
092134	栃木県	那須塩原市	女	59833	2519	2661	2903	3001	2821	3200	3640	4257	4482	3592	3560	3963	4785	3951	3254	2658	4586
092142	栃木県	さくら市	女	21980	990	1100	1064	1009	971	1083	1445	1642	1528	1284	1228	1365	1685	1385	1141	1009	2051
092151	栃木県	那須烏山市	女	14636	429	496	553	617	717	682	692	733	838	786	907	1035	1249	1055	860	915	2072
092169	栃木県	下野市	女	30243	1267	1359	1529	1564	1769	1705	1764	2029	2248	2020	2010	1956	2144	1784	1503	1283	2309
093009	栃木県	河内郡	女	15523	675	763	883	790	766	892	947	1125	1260	1034	969	1060	1102	872	692	565	1128
093017	栃木県	河内郡上三川町	女	15523	675	763	883	790	766	892	947	1125	1260	1034	969	1060	1102	872	692	565	1128
093408	栃木県	芳賀郡	女	33827	1149	1302	1470	1536	1484	1603	1746	1923	1995	1866	2251	2559	3005	2141	1789	1852	4156
093424	栃木県	芳賀郡益子町	女	12267	467	498	518	613	576	611	691	736	768	710	816	965	1100	780	617	579	1222
093432	栃木県	芳賀郡茂木町	女	7372	170	220	288	312	282	274	308	348	365	344	481	556	682	494	447	507	1294
093441	栃木県	芳賀郡市貝町	女	6060	228	245	283	286	301	325	311	357	378	367	451	433	509	324	289	295	678
