地域標準コード	市区町村名	介護老人福祉施設（施設数）	介護老人福祉施設（定員）	介護老人福祉施設（常勤換算従事者数）	介護老人保健施設（施設数）	介護老人保健施設（定員）	介護老人保健施設（常勤換算従事者数）	介護療養型医療施設（施設数）	介護療養型医療施設（病床数）	介護療養型医療施設（常勤換算従事者数）
06366	鮭川村	1	80	45	-	-	-	-	-	-
06367	戸沢村	1	80	37	-	-	-	-	-	-
06381	高畠町	3	210	153	-	-	-	-	-	-
06382	川西町	1	100	45	1	200	121	-	-	-
06401	小国町	1	100	63	1	50	37	-	-	-
06402	白鷹町	1	110	71	1	80	72	-	-	-
06403	飯豊町	1	80	48	1	30	25	-	-	-
06426	三川町	1	60	44	1	100	56	-	-	-
06428	庄内町	2	160	104	2	160	96	-	-	-
06461	遊佐町	3	160	112	-	-	-	-	-	-
07000	福島県	126	8636	5588	74	6401	3905	16	498	333
07201	福島市	17	1114	750	8	719	447	-	-	-
07202	会津若松市　	5	400	251	6	587	355	1	30	32
07203	郡山市	14	1034	702	10	789	477	5	174	105
07204	いわき市	13	1000	670	13	1189	642	5	136	72
07205	白河市	5	220	121	2	200	126	-	-	-
07207	須賀川市	6	400	292	3	250	151	-	-	-
07208	喜多方市	5	320	214	3	267	193	2	78	50
07209	相馬市	2	120	63	1	100	65	-	-	-
07210	二本松市	3	260	138	2	200	127	-	-	-
07211	田村市	3	200	150	2	200	122	-	-	-
07212	南相馬市	4	260	153	2	200	113	1	10	8
07213	伊達市	7	535	387	1	150	132	1	50	34
07214	本宮市	2	145	82	2	183	125	-	-	-
07301	桑折町	1	50	28	1	100	69	-	-	-
07303	国見町	1	90	60	-	-	-	-	-	-
07308	川俣町	2	110	88	2	129	79	-	-	-
07322	大玉村	1	70	55	-	-	-	-	-	-
07342	鏡石町	2	140	109	-	-	-	-	-	-
07344	天栄村	-	-	-	-	-	-	-	-	-
07362	下郷町	1	50	25	-	-	-	-	-	-
07364	檜枝岐村	-	-	-	-	-	-	-	-	-
07367	只見町	1	50	23	1	50	25	-	-	-
07368	南会津町	3	150	82	1	80	42	-	-	-
07402	北塩原村	-	-	-	-	-	-	-	-	-
07405	西会津町	1	50	33	1	50	27	-	-	-
07407	磐梯町	-	-	-	1	100	56	-	-	-
07408	猪苗代町	2	170	106	1	100	49	-	-	-
07421	会津坂下町　	1	80	48	-	-	-	-	-	-
07422	湯川村	-	-	-	-	-	-	-	-	-
07423	柳津町	1	50	21	-	-	-	-	-	-
07444	三島町	1	50	25	-	-	-	-	-	-
07445	金山町	1	80	48	-	-	-	-	-	-
07446	昭和村	1	30	23	-	-	-	-	-	-
07447	会津美里町　	2	190	128	2	100	80	-	-	-
07461	西郷村	2	200	93	1	100	59	-	-	-
07464	泉崎村	1	50	37	1	85	54	-	-	-
07465	中島村	1	80	52	-	-	-	-	-	-
07466	矢吹町	1	80	40	2	115	68	-	-	-
07481	棚倉町	1	80	46	1	29	23	-	-	-
07482	矢祭町	1	78	42	-	-	-	-	-	-
07483	塙町　	1	80	52	1	100	54	-	-	-
07484	鮫川村	-	-	-	-	-	-	-	-	-
07501	石川町	1	80	39	2	129	84	-	-	-
07502	玉川村	1	56	34	-	-	-	-	-	-
07503	平田村	1	50	26	-	-	-	1	20	31
07504	浅川町	1	80	54	-	-	-	-	-	-
07505	古殿町	1	50	34	-	-	-	-	-	-
07521	三春町	1	50	32	1	100	63	-	-	-
07522	小野町	1	50	31	-	-	-	-	-	-
07541	広野町	1	36	29	-	-	-	-	-	-
07542	楢葉町	-	-	-	-	-	-	-	-	-
07543	富岡町	-	-	-	-	-	-	-	-	-
07544	川内村	-	-	-	-	-	-	-	-	-
07545	大熊町	-	-	-	-	-	-	-	-	-
07546	双葉町	-	-	-	-	-	-	-	-	-
07547	浪江町	-	-	-	-	-	-	-	-	-
07548	葛尾村	-	-	-	-	-	-	-	-	-
07561	新地町	2	118	75	-	-	-	-	-	-
07564	飯舘村	-	-	-	-	-	-	-	-	-
08000	茨城県	195	11472	7725	107	9606	5611	26	950	753
08201	水戸市	14	808	520	11	938	599	2	66	46
08202	日立市	11	682	434	6	550	328	2	138	74
08203	土浦市	11	628	456	4	329	183	-	-	-
08204	古河市	8	400	288	3	300	175	1	19	13
08205	石岡市	6	364	230	3	280	173	3	119	66
08207	結城市	3	250	143	3	240	128	-	-	-
08208	龍ケ崎市	5	235	165	2	200	104	1	60	39
08210	下妻市	4	186	128	2	200	112	1	17	33
08211	常総市	7	404	242	1	100	63	1	16	10
08212	常陸太田市　	6	491	333	2	200	101	1	14	23
08214	高萩市	3	138	123	2	140	69	-	-	-
08215	北茨城市	2	205	138	1	90	49	1	38	22
08216	笠間市	4	180	142	4	348	200	1	6	9
08217	取手市	7	370	255	3	251	142	1	27	22
08219	牛久市	5	288	251	3	229	158	-	-	-
08220	つくば市	11	595	437	6	558	292	-	-	-
08221	ひたちなか市	6	340	221	6	519	337	-	-	-
08222	鹿嶋市	5	286	180	2	200	175	-	-	-
08223	潮来市	3	170	98	1	100	48	-	-	-
08224	守谷市	2	110	93	1	25	16	-	-	-
08225	常陸大宮市　	6	300	207	2	160	106	2	60	43
08226	那珂市	4	289	222	3	280	126	3	120	214
08227	筑西市	7	417	253	3	275	154	2	110	51
08228	坂東市	3	200	125	2	200	110	-	-	-
08229	稲敷市	3	190	113	2	200	118	-	-	-
08230	かすみがうら	5	290	181	1	100	53	-	-	-
08231	桜川市	3	180	142	3	280	178	1	50	27
08232	神栖市	4	230	140	3	284	157	-	-	-
08233	行方市	4	266	160	2	180	107	-	-	-
08234	鉾田市	5	230	173	2	150	94	-	-	-
08235	つくばみらい	3	122	104	-	-	-	-	-	-
08236	小美玉市	6	323	208	3	280	155	-	-	-
08302	茨城町	4	220	137	3	300	165	-	-	-
08309	大洗町	1	80	70	1	100	56	1	35	27
08310	城里町	1	50	31	1	80	67	1	40	21
08341	東海村	3	303	160	1	60	24	1	15	14
08364	大子町	2	150	109	2	200	122	-	-	-
08442	美浦村	1	64	34	2	200	106	-	-	-
08443	阿見町	2	136	80	2	200	109	-	-	-
